id,planet,star,method,year,radius,mass
974,HD 33844 b,HD 33844,Radial Velocity,2015,NA,NA
975,HD 33844 c,HD 33844,Radial Velocity,2015,NA,NA
976,HD 34445 b,HD 34445,Radial Velocity,2009,NA,NA
977,HD 34445 c,HD 34445,Radial Velocity,2017,NA,NA
978,HD 34445 d,HD 34445,Radial Velocity,2017,NA,NA
979,HD 34445 e,HD 34445,Radial Velocity,2017,NA,NA
980,HD 34445 f,HD 34445,Radial Velocity,2017,NA,NA
981,HD 34445 g,HD 34445,Radial Velocity,2017,NA,NA
982,HD 35759 b,HD 35759,Radial Velocity,2016,NA,NA
983,HD 360 b,HD 360,Radial Velocity,2021,NA,NA
984,HD 3651 b,HD 3651,Radial Velocity,2003,NA,NA
985,HD 37124 b,HD 37124,Radial Velocity,2002,NA,NA
986,HD 37124 c,HD 37124,Radial Velocity,2002,NA,NA
987,HD 37124 d,HD 37124,Radial Velocity,2005,NA,NA
988,HD 37605 b,HD 37605,Radial Velocity,2004,NA,NA
989,HD 37605 c,HD 37605,Radial Velocity,2012,NA,NA
990,HD 3765 b,HD 3765,Radial Velocity,2021,NA,NA
991,HD 38283 b,HD 38283,Radial Velocity,2010,NA,NA
992,HD 38529 b,HD 38529,Radial Velocity,2000,NA,NA
993,HD 38529 c,HD 38529,Radial Velocity,2000,NA,3320.46746
994,HD 38801 b,HD 38801,Radial Velocity,2009,NA,NA
995,HD 39091 b,HD 39091,Radial Velocity,2001,NA,3889.98524
996,HD 39194 b,HD 39194,Radial Velocity,2021,NA,NA
997,HD 39194 c,HD 39194,Radial Velocity,2021,NA,NA
998,HD 39194 d,HD 39194,Radial Velocity,2021,NA,NA
999,HD 39855 b,HD 39855,Radial Velocity,2019,NA,NA
1000,HD 40307 b,HD 40307,Radial Velocity,2009,NA,NA
1001,HD 40307 c,HD 40307,Radial Velocity,2009,NA,NA
1002,HD 40307 d,HD 40307,Radial Velocity,2009,NA,NA
1003,HD 40307 f,HD 40307,Radial Velocity,2013,NA,NA
1004,HD 40307 g,HD 40307,Radial Velocity,2013,NA,NA
1005,HD 40956 b,HD 40956,Radial Velocity,2017,NA,NA
1006,HD 40979 b,HD 40979,Radial Velocity,2002,NA,NA
1007,HD 41004 A b,HD 41004 A,Radial Velocity,2004,NA,NA
1008,HD 41004 B b,HD 41004 B,Radial Velocity,2003,NA,NA
1009,HD 4113 b,HD 4113,Radial Velocity,2007,NA,NA
1010,HD 42012 b,HD 42012,Radial Velocity,2017,NA,NA
1011,HD 4203 b,HD 4203,Radial Velocity,2001,NA,NA
1012,HD 4203 c,HD 4203,Radial Velocity,2014,NA,NA
1013,HD 4208 b,HD 4208,Radial Velocity,2001,NA,NA
1014,HD 42618 b,HD 42618,Radial Velocity,2016,NA,NA
1015,HD 4308 b,HD 4308,Radial Velocity,2005,NA,NA
1016,HD 4313 b,HD 4313,Radial Velocity,2009,NA,NA
1017,HD 43197 b,HD 43197,Radial Velocity,2010,NA,NA
1018,HD 43197 c,HD 43197,Radial Velocity,2022,NA,2479.19613
1019,HD 43691 b,HD 43691,Radial Velocity,2007,NA,NA
1020,HD 44219 b,HD 44219,Radial Velocity,2010,NA,NA
1021,HD 45184 b,HD 45184,Radial Velocity,2019,NA,NA
1022,HD 45184 c,HD 45184,Radial Velocity,2019,NA,NA
1023,HD 45350 b,HD 45350,Radial Velocity,2004,NA,NA
1024,HD 45364 b,HD 45364,Radial Velocity,2008,NA,NA
1025,HD 45364 c,HD 45364,Radial Velocity,2008,NA,NA
1026,HD 45652 b,HD 45652,Radial Velocity,2008,NA,NA
1027,HD 457 b,HD 457,Radial Velocity,2022,NA,7574.93226
1028,HD 46375 b,HD 46375,Radial Velocity,2000,NA,NA
1029,HD 47186 b,HD 47186,Radial Velocity,2008,NA,NA
1030,HD 47186 c,HD 47186,Radial Velocity,2008,NA,NA
1031,HD 4732 b,HD 4732,Radial Velocity,2012,NA,NA
1032,HD 4732 c,HD 4732,Radial Velocity,2012,NA,NA
1033,HD 47366 b,HD 47366,Radial Velocity,2016,NA,NA
1034,HD 47366 c,HD 47366,Radial Velocity,2016,NA,NA
1035,HD 47536 b,HD 47536,Radial Velocity,2002,NA,NA
1036,HD 4760 b,HD 4760,Radial Velocity,2021,NA,NA
1037,HD 48265 b,HD 48265,Radial Velocity,2008,NA,NA
1038,HD 4917 b,HD 4917,Radial Velocity,2018,NA,NA
1039,HD 49674 b,HD 49674,Radial Velocity,2002,NA,NA
1040,HD 50499 b,HD 50499,Radial Velocity,2005,NA,NA
1041,HD 50499 c,HD 50499,Radial Velocity,2019,NA,NA
1042,HD 50554 b,HD 50554,Radial Velocity,2002,NA,NA
1043,HD 51608 b,HD 51608,Radial Velocity,2019,NA,NA
1044,HD 51608 c,HD 51608,Radial Velocity,2019,NA,NA
1045,HD 52265 b,HD 52265,Radial Velocity,2000,NA,NA
1046,HD 5278 b,HD 5278,Transit,2021,2.45,7.8
1047,HD 5278 c,HD 5278,Radial Velocity,2021,NA,NA
1048,HD 5319 b,HD 5319,Radial Velocity,2007,NA,NA
1049,HD 5319 c,HD 5319,Radial Velocity,2014,NA,NA
1050,HD 55696 b,HD 55696,Radial Velocity,2018,NA,NA
1051,HD 5583 b,HD 5583,Radial Velocity,2016,NA,NA
1052,HD 5608 b,HD 5608,Radial Velocity,2012,NA,NA
1053,HD 564 b,HD 564,Radial Velocity,2014,NA,NA
1054,HD 56414 b,HD 56414,Transit,2022,3.71,NA
1055,HD 56957 b,HD 56957,Radial Velocity,2022,NA,1893.34292
1056,HD 5891 b,HD 5891,Radial Velocity,2011,NA,NA
1057,HD 59686 A b,HD 59686 A,Radial Velocity,2016,NA,NA
1058,HD 60292 b,HD 60292,Radial Velocity,2020,NA,NA
1059,HD 60532 b,HD 60532,Radial Velocity,2008,NA,NA
1060,HD 60532 c,HD 60532,Radial Velocity,2008,NA,NA
1061,HD 62364 b,HD 62364,Radial Velocity,2022,NA,5538.75835
1062,HD 62364 c,HD 62364,Radial Velocity,2022,NA,7882.56267
1063,HD 62509 b,HD 62509,Radial Velocity,2006,NA,NA
1064,HD 62549 b,HD 62549,Radial Velocity,2022,NA,2773.33249
1065,HD 63433 b,HD 63433,Transit,2020,2.15,NA
1066,HD 63433 c,HD 63433,Transit,2020,2.67,NA
1067,HD 63454 b,HD 63454,Radial Velocity,2005,NA,NA
1068,HD 63765 b,HD 63765,Radial Velocity,2009,NA,NA
1069,HD 63935 b,HD 63935,Transit,2021,2.99,10.8
1070,HD 63935 c,HD 63935,Radial Velocity,2021,2.9,11.1
1071,HD 64114 b,HD 64114,Radial Velocity,2019,NA,NA
1072,HD 64121 b,HD 64121,Radial Velocity,2022,NA,NA
1073,HD 6434 b,HD 6434,Radial Velocity,2003,NA,NA
1074,HD 65216 b,HD 65216,Radial Velocity,2003,NA,NA
1075,HD 65216 c,HD 65216,Radial Velocity,2013,NA,NA
1076,HD 66141 b,HD 66141,Radial Velocity,2012,NA,NA
1077,HD 66428 b,HD 66428,Radial Velocity,2005,NA,3426.60694
1078,HD 66428 c,HD 66428,Radial Velocity,2021,NA,768.2868
1079,HD 67087 b,HD 67087,Radial Velocity,2015,NA,NA
1080,HD 67087 c,HD 67087,Radial Velocity,2015,NA,NA
1081,HD 6718 b,HD 6718,Radial Velocity,2009,NA,NA
1082,HD 68402 b,HD 68402,Radial Velocity,2016,NA,NA
1083,HD 68988 b,HD 68988,Radial Velocity,2001,NA,NA
1084,HD 68988 c,HD 68988,Radial Velocity,2021,NA,NA
1085,HD 69123 b,HD 69123,Radial Velocity,2022,NA,NA
1086,HD 69830 b,HD 69830,Radial Velocity,2006,NA,NA
1087,HD 69830 c,HD 69830,Radial Velocity,2006,NA,NA
1088,HD 69830 d,HD 69830,Radial Velocity,2006,NA,NA
1089,HD 70573 b,HD 70573,Radial Velocity,2007,NA,NA
1090,HD 70642 b,HD 70642,Radial Velocity,2003,NA,NA
1091,HD 7199 b,HD 7199,Radial Velocity,2011,NA,NA
1092,HD 72490 b,HD 72490,Radial Velocity,2018,NA,NA
1093,HD 72659 b,HD 72659,Radial Velocity,2002,NA,1071.53588
1094,HD 72659 c,HD 72659,Radial Velocity,2022,NA,5948.05833
1095,HD 72892 b,HD 72892,Radial Velocity,2016,NA,NA
1096,HD 73267 b,HD 73267,Radial Velocity,2008,NA,1325.38828
1097,HD 73267 c,HD 73267,Radial Velocity,2022,NA,1716.49961
1098,HD 73526 b,HD 73526,Radial Velocity,2002,NA,NA
1099,HD 73526 c,HD 73526,Radial Velocity,2005,NA,NA
1100,HD 73534 b,HD 73534,Radial Velocity,2008,NA,NA
1101,HD 73583 b,HD 73583,Transit,2022,2.79,10.2
1102,HD 73583 c,HD 73583,Transit,2022,2.39,9.7
1103,HD 74156 b,HD 74156,Radial Velocity,2003,NA,NA
1104,HD 74156 c,HD 74156,Radial Velocity,2003,NA,2894.47226
1105,HD 7449 b,HD 7449,Radial Velocity,2011,NA,2652.63439
1106,HD 75289 b,HD 75289,Radial Velocity,1999,NA,NA
1107,HD 75784 b,HD 75784,Radial Velocity,2014,NA,NA
1108,HD 75784 c,HD 75784,Radial Velocity,2018,NA,NA
1109,HD 75898 b,HD 75898,Radial Velocity,2007,NA,NA
1110,HD 76700 b,HD 76700,Radial Velocity,2002,NA,NA
1111,HD 76920 b,HD 76920,Radial Velocity,2017,NA,NA
1112,HD 77338 b,HD 77338,Radial Velocity,2012,NA,NA
1113,HD 79181 b,HD 79181,Radial Velocity,2021,NA,NA
1114,HD 7924 b,HD 7924,Radial Velocity,2008,NA,NA
1115,HD 7924 c,HD 7924,Radial Velocity,2015,NA,NA
1116,HD 7924 d,HD 7924,Radial Velocity,2015,NA,NA
1117,HD 79498 b,HD 79498,Radial Velocity,2011,NA,NA
1118,HD 80606 b,HD 80606,Radial Velocity,2001,11.994,1392.0954
1119,HD 80653 b,HD 80653,Transit,2020,1.613,5.6
1120,HD 80869 b,HD 80869,Radial Velocity,2021,NA,1797.84225
1121,HD 80883 b,HD 80883,Radial Velocity,2022,NA,1740.73691
1122,HD 80913 b,HD 80913,Radial Velocity,2022,NA,7469.38301
1123,HD 81040 b,HD 81040,Radial Velocity,2005,NA,2172.35017
1124,HD 81688 b,HD 81688,Radial Velocity,2007,NA,NA
1125,HD 81817 b,HD 81817,Radial Velocity,2020,NA,8433.90298
1126,HD 81817 c,HD 81817,Radial Velocity,2022,NA,NA
1127,HD 82886 b,HD 82886,Radial Velocity,2011,NA,NA
1128,HD 82943 b,HD 82943,Radial Velocity,2003,NA,534.25
1129,HD 82943 c,HD 82943,Radial Velocity,2003,NA,622.603
1130,HD 8326 b,HD 8326,Radial Velocity,2019,NA,NA
1131,HD 83443 b,HD 83443,Radial Velocity,2002,NA,NA
1132,HD 83443 c,HD 83443,Radial Velocity,2022,NA,476.74261
1133,HD 8535 b,HD 8535,Radial Velocity,2010,NA,NA
1134,HD 85390 b,HD 85390,Radial Velocity,2009,NA,NA
1135,HD 85512 b,HD 85512,Radial Velocity,2011,NA,NA
1136,HD 8574 b,HD 8574,Radial Velocity,2002,NA,NA
1137,HD 86065 b,HD 86065,Radial Velocity,2022,NA,2801.89869
1138,HD 86081 b,HD 86081,Radial Velocity,2006,NA,NA
1139,HD 86226 b,HD 86226,Radial Velocity,2009,NA,143.0235
1140,HD 86226 c,HD 86226,Transit,2020,2.16,7.25
1141,HD 86264 b,HD 86264,Radial Velocity,2009,NA,4073.50239
1142,HD 8673 b,HD 8673,Radial Velocity,2009,NA,4259.27322
1143,HD 86950 b,HD 86950,Radial Velocity,2016,NA,NA
1144,HD 87646 b,HD 87646,Radial Velocity,2016,NA,NA
1145,HD 87883 b,HD 87883,Radial Velocity,2009,NA,1705.47518
1146,HD 88072 b,HD 88072,Radial Velocity,2022,NA,2565.90908
1147,HD 88133 b,HD 88133,Radial Velocity,2004,NA,NA
1148,HD 89307 b,HD 89307,Radial Velocity,2009,NA,NA
1149,HD 89345 b,HD 89345,Transit,2018,7.398,34.9613
1150,HD 89744 b,HD 89744,Radial Velocity,1999,NA,NA
1151,HD 90156 b,HD 90156,Radial Velocity,2009,NA,NA
1152,HD 9174 b,HD 9174,Radial Velocity,2016,NA,NA
1153,HD 92788 b,HD 92788,Radial Velocity,2000,NA,NA
1154,HD 92788 c,HD 92788,Radial Velocity,2019,NA,NA
1155,HD 93083 b,HD 93083,Radial Velocity,2005,NA,NA
1156,HD 93351 b,HD 93351,Radial Velocity,2022,NA,NA
1157,HD 93351 c,HD 93351,Radial Velocity,2022,NA,4230.46976
1158,HD 93385 b,HD 93385,Radial Velocity,2021,NA,NA
1159,HD 93385 c,HD 93385,Radial Velocity,2021,NA,NA
1160,HD 93385 d,HD 93385,Radial Velocity,2021,NA,NA
1161,HD 93963 A b,HD 93963 A,Transit,2022,1.35,7.8
1162,HD 93963 A c,HD 93963 A,Transit,2022,3.228,19.2
1163,HD 9446 b,HD 9446,Radial Velocity,2009,NA,NA
1164,HD 9446 c,HD 9446,Radial Velocity,2009,NA,NA
1165,HD 94834 b,HD 94834,Radial Velocity,2018,NA,NA
1166,HD 95086 b,HD 95086,Imaging,2013,NA,1589
1167,HD 95089 b,HD 95089,Radial Velocity,2009,NA,NA
1168,HD 95089 c,HD 95089,Radial Velocity,2018,NA,NA
1169,HD 95127 b,HD 95127,Radial Velocity,2015,NA,NA
1170,HD 95338 b,HD 95338,Radial Velocity,2020,3.89,42.44
1171,HD 95544 b,HD 95544,Radial Velocity,2021,NA,2108.25626
1172,HD 95735 c,GJ 411,Radial Velocity,2021,NA,NA
1173,HD 95872 b,HD 95872,Radial Velocity,2015,NA,NA
1174,HD 96063 b,HD 96063,Radial Velocity,2011,NA,NA
1175,HD 96127 b,HD 96127,Radial Velocity,2011,NA,NA
1176,HD 96167 b,HD 96167,Radial Velocity,2009,NA,NA
1177,HD 96700 b,HD 96700,Radial Velocity,2021,NA,NA
1178,HD 96700 c,HD 96700,Radial Velocity,2021,NA,NA
1179,HD 96700 d,HD 96700,Radial Velocity,2021,NA,NA
1180,HD 96992 b,HD 96992,Radial Velocity,2021,NA,NA
1181,HD 97037 b,HD 97037,Radial Velocity,2022,NA,6674.04272
1182,HD 97048 b,HD 97048,Disk Kinematics,2019,NA,794.575
1183,HD 97658 b,HD 97658,Radial Velocity,2010,2.12,8.3
1184,HD 98219 b,HD 98219,Radial Velocity,2011,NA,NA
1185,HD 98649 b,HD 98649,Radial Velocity,2012,NA,2665.27978
1186,HD 98736 b,HD 98736,Radial Velocity,2018,NA,NA
1187,HD 99109 b,HD 99109,Radial Velocity,2005,NA,NA
1188,HD 99283 b,HD 99283,Radial Velocity,2021,NA,NA
1189,HD 99492 b,HD 99492,Radial Velocity,2004,NA,NA
1190,HD 99706 b,HD 99706,Radial Velocity,2011,NA,NA
1191,HD 99706 c,HD 99706,Radial Velocity,2018,NA,NA
1192,HIP 105854 b,HIP 105854,Radial Velocity,2014,NA,NA
1193,HIP 107772 b,HIP 107772,Radial Velocity,2020,NA,NA
1194,HIP 107773 b,HIP 107773,Radial Velocity,2015,NA,NA
1195,HIP 109384 b,HIP 109384,Radial Velocity,2016,NA,NA
1196,HIP 109600 b,HIP 109600,Radial Velocity,2016,NA,NA
1197,HIP 114933 b,HIP 114933,Radial Velocity,2021,NA,NA
1198,HIP 116454 b,HIP 116454,Transit,2014,2.466,12.7132
1199,HIP 12961 b,HIP 12961,Radial Velocity,2010,NA,NA
1200,HIP 14810 b,HIP 14810,Radial Velocity,2005,NA,NA
1201,HIP 14810 c,HIP 14810,Radial Velocity,2006,NA,NA
1202,HIP 14810 d,HIP 14810,Radial Velocity,2009,NA,NA
1203,HIP 19976 b,HIP 19976,Radial Velocity,2022,NA,NA
1204,HIP 19976 c,HIP 19976,Radial Velocity,2022,NA,9501.75953
1205,HIP 21152 b,HIP 21152,Imaging,2022,NA,7627.88177
1206,HIP 34222 b,HIP 34222,Radial Velocity,2021,NA,NA
1207,HIP 35173 b,HIP 35173,Radial Velocity,2019,NA,NA
1208,HIP 35965 b,HIP 35965,Radial Velocity,2022,NA,2547.568
1209,HIP 38594 b,HIP 38594,Radial Velocity,2020,NA,NA
1210,HIP 38594 c,HIP 38594,Radial Velocity,2020,NA,NA
1211,HIP 41378 b,HIP 41378,Transit,2016,NA,NA
1212,HIP 41378 c,HIP 41378,Transit,2016,NA,NA
1213,HIP 41378 d,HIP 41378,Transit,2016,NA,NA
1214,HIP 41378 e,HIP 41378,Transit,2016,NA,NA
1215,HIP 41378 f,HIP 41378,Transit,2016,NA,NA
1216,HIP 4845 b,HIP 4845,Radial Velocity,2020,NA,NA
1217,HIP 48714 b,HIP 48714,Radial Velocity,2020,NA,NA
1218,HIP 5158 b,HIP 5158,Radial Velocity,2009,NA,NA
1219,HIP 5158 c,HIP 5158,Radial Velocity,2011,NA,NA
1220,HIP 54373 b,HIP 54373,Radial Velocity,2019,NA,NA
1221,HIP 54373 c,HIP 54373,Radial Velocity,2019,NA,NA
1222,HIP 55507 b,HIP 55507,Radial Velocity,2022,NA,2625.12713
1223,HIP 56640 b,HIP 56640,Radial Velocity,2021,NA,2151.6473
1224,HIP 57274 b,HIP 57274,Radial Velocity,2011,NA,NA
1225,HIP 57274 c,HIP 57274,Radial Velocity,2011,NA,NA
1226,HIP 57274 d,HIP 57274,Radial Velocity,2011,NA,NA
1227,HIP 5763 b,HIP 5763,Radial Velocity,2021,NA,NA
1228,HIP 63242 b,HIP 63242,Radial Velocity,2013,NA,NA
1229,HIP 65 A b,HIP 65 A,Transit,2020,22.754,1021.18779
1230,HIP 65407 b,HIP 65407,Radial Velocity,2016,NA,NA
1231,HIP 65407 c,HIP 65407,Radial Velocity,2016,NA,NA
1232,HIP 65426 b,HIP 65426,Imaging,2017,16.814,2860.47
1233,HIP 65891 b,HIP 65891,Radial Velocity,2015,NA,1933.66969
1234,HIP 67522 b,HIP 67522,Transit,2020,10.07,NA
1235,HIP 67537 b,HIP 67537,Radial Velocity,2017,NA,4309.24472
1236,HIP 67851 b,HIP 67851,Radial Velocity,2015,NA,NA
1237,HIP 67851 c,HIP 67851,Radial Velocity,2015,NA,2430.61722
1238,HIP 70849 b,HIP 70849,Radial Velocity,2009,NA,NA
1239,HIP 71135 b,HIP 71135,Radial Velocity,2019,NA,NA
1240,HIP 74890 b,HIP 74890,Radial Velocity,2016,NA,NA
1241,HIP 75056 A b,HIP 75056 A,Imaging,2021,22.418,7945.71018
1242,HIP 75092 b,HIP 75092,Radial Velocity,2021,NA,NA
1243,HIP 78530 b,HIP 78530,Imaging,2010,NA,7300
1244,HIP 79098 AB b,HIP 79098 AB,Imaging,2019,NA,6515.515
1245,HIP 79431 b,HIP 79431,Radial Velocity,2009,NA,NA
1246,HIP 8541 b,HIP 8541,Radial Velocity,2016,NA,2621.63107
1247,HIP 86221 b,HIP 86221,Radial Velocity,2021,NA,NA
1248,HIP 90988 b,HIP 90988,Radial Velocity,2021,NA,NA
1249,HIP 91258 b,HIP 91258,Radial Velocity,2013,NA,NA
1250,HIP 94235 b,HIP 94235,Transit,2022,3,379
1251,HIP 948 b,HIP 948,Radial Velocity,2022,NA,6410.69721
1252,HIP 97166 b,HIP 97166,Transit,2021,2.74,20
1253,HIP 97166 c,HIP 97166,Radial Velocity,2021,NA,NA
1254,HIP 97233 b,HIP 97233,Radial Velocity,2014,NA,6399.22435
1255,HN Peg b,HN Peg,Imaging,2006,11.777,6991.57
1256,HR 2562 b,HR 2562,Imaging,2016,12.442,9534.9
1257,HR 5183 b,HR 5183,Radial Velocity,2019,NA,NA
1258,HR 810 b,HR 810,Radial Velocity,1999,NA,NA
1259,HR 858 b,HR 858,Transit,2019,2.085,NA
1260,HR 858 c,HR 858,Transit,2019,1.939,NA
1261,HR 858 d,HR 858,Transit,2019,2.164,NA
1262,HR 8799 b,HR 8799,Imaging,2008,13,2000
1263,HR 8799 c,HR 8799,Imaging,2008,13,3000
1264,HR 8799 d,HR 8799,Imaging,2008,13,3000
1265,HR 8799 e,HR 8799,Imaging,2010,13.115,3178.3
1266,HU Aqr AB b,HU Aqr,Eclipse Timing Variations,2011,NA,NA
1267,HU Aqr AB c,HU Aqr,Eclipse Timing Variations,2011,NA,NA
1268,HW Vir b,HW Vir,Eclipse Timing Variations,2012,NA,NA
1269,IC 4651 9122 b,IC 4651 9122,Radial Velocity,2018,NA,NA
1270,K2-10 b,K2-10,Transit,2015,3.84,27
1271,K2-100 b,K2-100,Transit,2016,3.88,21.8
1272,K2-101 b,K2-101,Transit,2016,2,NA
1273,K2-102 b,K2-102,Transit,2016,1.3,NA
1274,K2-104 b,K2-104,Transit,2016,1.79,NA
1275,K2-105 b,K2-105,Transit,2017,3.59,NA
1276,K2-107 b,K2-107,Transit,2017,15.98,NA
1277,K2-108 b,K2-108,Transit,2017,5.33,NA
1278,K2-11 b,K2-11,Transit,2015,7.55,NA
1279,K2-110 b,K2-110,Transit,2017,2.56,NA
1280,K2-111 b,K2-111,Transit,2017,1.82,5.29
1281,K2-111 c,K2-111,Radial Velocity,2020,NA,NA
1282,K2-113 b,K2-113,Transit,2017,12.14,NA
1283,K2-114 b,K2-114,Transit,2017,10.447,638.8351
1284,K2-115 b,K2-115,Transit,2017,12.06,NA
1285,K2-116 b,K2-116,Transit,2017,0.69,NA
1286,K2-117 b,K2-117,Transit,2017,2.03,NA
1287,K2-117 c,K2-117,Transit,2017,2.06,NA
1288,K2-118 b,K2-118,Transit,2017,2.54,NA
1289,K2-119 b,K2-119,Transit,2017,2.53,NA
1290,K2-12 b,K2-12,Transit,2015,2.33,NA
1291,K2-120 b,K2-120,Transit,2017,2.01,NA
1292,K2-121 b,K2-121,Transit,2017,7.52,NA
1293,K2-122 b,K2-122,Transit,2017,1.16,NA
1294,K2-123 b,K2-123,Transit,2017,2.76,NA
1295,K2-124 b,K2-124,Transit,2017,2.9,NA
1296,K2-125 b,K2-125,Transit,2017,2.18,NA
1297,K2-126 b,K2-126,Transit,2017,1.97,NA
1298,K2-127 b,K2-127,Transit,2017,8.37,NA
1299,K2-128 b,K2-128,Transit,2017,1.42,NA
1300,K2-129 b,K2-129,Transit,2017,1.04,NA
1301,K2-13 b,K2-13,Transit,2015,1.89,NA
1302,K2-130 b,K2-130,Transit,2017,1.25,NA
1303,K2-131 b,K2-131,Transit,2017,1.5,NA
1304,K2-132 b,K2-132,Transit,2017,14.572,155.7367
1305,K2-133 b,K2-133,Transit,2017,1.34,NA
1306,K2-133 c,K2-133,Transit,2017,1.603,NA
1307,K2-133 d,K2-133,Transit,2017,2.003,NA
1308,K2-133 e,K2-133,Transit,2019,1.73,NA
1309,K2-136 b,K2-136,Transit,2017,0.99,NA
1310,K2-136 c,K2-136,Transit,2017,2.91,NA
1311,K2-136 d,K2-136,Transit,2017,1.45,NA
1312,K2-137 b,K2-137,Transit,2017,0.64,NA
1313,K2-138 b,K2-138,Transit,2017,1.51,3.1
1314,K2-138 c,K2-138,Transit,2017,2.299,6.31
1315,K2-138 d,K2-138,Transit,2017,2.39,7.92
1316,K2-138 e,K2-138,Transit,2017,3.39,12.97
1317,K2-138 f,K2-138,Transit,2017,2.904,1.63
1318,K2-138 g,K2-138,Transit,2021,3.013,4.32
1319,K2-139 b,K2-139,Transit,2017,9.11,NA
1320,K2-14 b,K2-14,Transit,2015,4.81,NA
1321,K2-140 b,K2-140,Transit,2017,13.563,295.58042
1322,K2-141 b,K2-141,Transit,2018,1.51,5.08
1323,K2-141 c,K2-141,Transit,2018,7,7.4
1324,K2-146 b,K2-146,Transit,2018,2.05,5.77
1325,K2-146 c,K2-146,Transit,2019,2.19,7.49
1326,K2-147 b,K2-147,Transit,2018,0.73,NA
1327,K2-148 b,K2-148,Transit,2018,1.33,NA
1328,K2-148 c,K2-148,Transit,2018,1.73,NA
1329,K2-148 d,K2-148,Transit,2018,1.64,NA
1330,K2-149 b,K2-149,Transit,2018,1.64,NA
1331,K2-15 b,K2-15,Transit,2015,2.48,NA
1332,K2-150 b,K2-150,Transit,2018,2,NA
1333,K2-151 b,K2-151,Transit,2018,1.49,NA
1334,K2-152 b,K2-152,Transit,2018,2.29,NA
1335,K2-153 b,K2-153,Transit,2018,2,NA
1336,K2-154 b,K2-154,Transit,2018,1.99,NA
1337,K2-154 c,K2-154,Transit,2018,2.07,NA
1338,K2-155 b,K2-155,Transit,2018,1.8,NA
1339,K2-155 c,K2-155,Transit,2018,2.6,NA
1340,K2-155 d,K2-155,Transit,2018,1.9,NA
1341,K2-156 b,K2-156,Transit,2018,1.1,NA
1342,K2-157 b,K2-157,Transit,2018,1,NA
1343,K2-158 b,K2-158,Transit,2018,2.64,NA
1344,K2-158 c,K2-158,Transit,2018,1.28,NA
1345,K2-159 b,K2-159,Transit,2018,2.26,NA
1346,K2-16 b,K2-16,Transit,2015,2.02,NA
1347,K2-16 c,K2-16,Transit,2015,2.54,NA
1348,K2-160 b,K2-160,Transit,2018,3.178,NA
1349,K2-161 b,K2-161,Transit,2018,6.117,NA
1350,K2-162 b,K2-162,Transit,2018,1.44,NA
1351,K2-163 b,K2-163,Transit,2018,2.466,NA
1352,K2-164 b,K2-164,Transit,2018,3.249,NA
1353,K2-165 b,K2-165,Transit,2018,1.274,NA
1354,K2-165 c,K2-165,Transit,2018,1.554,NA
1355,K2-165 d,K2-165,Transit,2018,2.648,NA
1356,K2-166 b,K2-166,Transit,2018,2.19,NA
1357,K2-167 b,K2-167,Transit,2018,2.264,NA
1358,K2-168 b,K2-168,Transit,2018,1.86,NA
1359,K2-169 b,K2-169,Transit,2018,1.273,NA
1360,K2-17 b,K2-17,Transit,2015,2.23,NA
1361,K2-170 b,K2-170,Transit,2018,1.418,NA
1362,K2-170 c,K2-170,Transit,2018,1.802,NA
1363,K2-171 b,K2-171,Transit,2018,2.687,NA
1364,K2-172 b,K2-172,Transit,2018,1.666,NA
1365,K2-172 c,K2-172,Transit,2018,3.206,NA
1366,K2-173 b,K2-173,Transit,2018,1.608,NA
1367,K2-174 b,K2-174,Transit,2018,2.6,NA
1368,K2-175 b,K2-175,Transit,2018,2.038,NA
1369,K2-176 b,K2-176,Transit,2018,1.491,NA
1370,K2-177 b,K2-177,Transit,2018,2.116,NA
1371,K2-178 b,K2-178,Transit,2018,3.558,NA
1372,K2-179 b,K2-179,Transit,2018,2.513,NA
1373,K2-18 b,K2-18,Transit,2015,2.37,8.92
1374,K2-18 c,K2-18,Radial Velocity,2017,NA,NA
1375,K2-180 b,K2-180,Transit,2018,2.52,NA
1376,K2-181 b,K2-181,Transit,2018,2.84,NA
1377,K2-182 b,K2-182,Transit,2018,2.69,20
1378,K2-183 b,K2-183,Transit,2018,1.1,NA
1379,K2-183 c,K2-183,Transit,2018,2.3,NA
1380,K2-183 d,K2-183,Transit,2018,2.3,NA
1381,K2-184 b,K2-184,Transit,2018,1.47,NA
1382,K2-185 b,K2-185,Transit,2018,1.15,NA
1383,K2-185 c,K2-185,Transit,2018,2.39,NA
1384,K2-186 b,K2-186,Transit,2018,3.172,NA
1385,K2-187 b,K2-187,Transit,2018,1.2,NA
1386,K2-187 c,K2-187,Transit,2018,1.4,NA
1387,K2-187 d,K2-187,Transit,2018,2.4,NA
1388,K2-187 e,K2-187,Transit,2018,1.9,NA
1389,K2-188 b,K2-188,Transit,2018,1.35,NA
1390,K2-188 c,K2-188,Transit,2018,2.83,NA
1391,K2-189 b,K2-189,Transit,2018,1.52,NA
1392,K2-189 c,K2-189,Transit,2018,2.5,NA
1393,K2-19 b,K2-19,Transit,2015,7,32.4
1394,K2-19 c,K2-19,Transit,2015,4.1,10.8
1395,K2-19 d,K2-19,Transit,2016,1.11,10
1396,K2-190 b,K2-190,Transit,2018,1.357,NA
1397,K2-190 c,K2-190,Transit,2018,1.093,NA
