zip,sex,age,obese,n,pop
53221,female,35-54,362,728,4801
53222,female,35-54,614,1266,3827
53223,female,35-54,601,1010,4112
53224,female,35-54,578,1003,2751
53225,female,35-54,731,1200,3339
53226,female,35-54,336,1040,2181
53227,female,35-54,398,767,3069
53228,female,35-54,195,441,1604
53233,female,35-54,90,142,706
53235,female,35-54,94,199,1518
53295,female,35-54,NA,NA,0
53402,female,35-54,NA,NA,4323
53403,female,35-54,NA,NA,3692
53404,female,35-54,NA,NA,1994
53405,female,35-54,NA,NA,3237
53406,female,35-54,NA,NA,3782
53501,female,35-54,NA,NA,49
53502,female,35-54,150,310,299
53503,female,35-54,70,157,205
53504,female,35-54,101,196,277
53505,female,35-54,NA,NA,80
53506,female,35-54,18,41,125
53507,female,35-54,101,238,320
53508,female,35-54,313,716,794
53510,female,35-54,16,31,193
53511,female,35-54,1244,2222,6339
53515,female,35-54,86,205,331
53516,female,35-54,124,242,331
53517,female,35-54,82,203,238
53518,female,35-54,21,47,138
53520,female,35-54,383,778,915
53521,female,35-54,196,449,498
53522,female,35-54,63,113,169
53523,female,35-54,168,425,636
53525,female,35-54,119,217,502
53526,female,35-54,13,32,104
53527,female,35-54,452,1265,1861
53528,female,35-54,268,676,889
53529,female,35-54,97,211,267
53530,female,35-54,117,207,571
53531,female,35-54,222,503,726
53532,female,35-54,733,1797,2153
53533,female,35-54,262,566,1035
53534,female,35-54,624,1323,1509
53536,female,35-54,516,1177,1399
53537,female,35-54,42,76,78
53538,female,35-54,628,1329,2594
53540,female,35-54,NA,NA,39
53541,female,35-54,39,59,80
53543,female,35-54,51,102,225
53544,female,35-54,32,71,99
53545,female,35-54,1283,2738,2843
53546,female,35-54,1729,3644,4721
53548,female,35-54,1016,2121,2568
53549,female,35-54,243,472,1416
53550,female,35-54,80,159,200
53551,female,35-54,166,390,1292
53553,female,35-54,NA,NA,78
53554,female,35-54,22,45,136
53555,female,35-54,269,689,1435
53556,female,35-54,43,104,392
53557,female,35-54,17,32,93
53558,female,35-54,506,1441,1710
53559,female,35-54,332,664,998
53560,female,35-54,144,323,507
53561,female,35-54,43,91,227
53562,female,35-54,866,3055,3476
53563,female,35-54,563,1258,1430
53565,female,35-54,115,256,722
53566,female,35-54,906,1823,2044
53569,female,35-54,32,55,167
53570,female,35-54,169,358,382
53571,female,35-54,18,38,63
53572,female,35-54,467,1289,1582
53573,female,35-54,77,132,437
53574,female,35-54,182,545,599
53575,female,35-54,699,2009,2606
53576,female,35-54,136,262,322
53577,female,35-54,26,60,194
53578,female,35-54,128,323,782
53579,female,35-54,44,80,240
53580,female,35-54,NA,NA,82
53581,female,35-54,153,294,1196
53582,female,35-54,44,85,153
53583,female,35-54,129,305,892
53585,female,35-54,70,138,299
53586,female,35-54,53,87,306
53587,female,35-54,51,97,144
53588,female,35-54,85,203,534
53589,female,35-54,1023,2401,2836
53590,female,35-54,2059,4844,5349
53593,female,35-54,829,3015,3562
53594,female,35-54,180,365,858
53597,female,35-54,755,2455,2877
53598,female,35-54,158,377,336
53599,female,35-54,NA,NA,8
53702,female,35-54,NA,NA,0
53703,female,35-54,269,979,1451
53704,female,35-54,2141,4977,6694
53705,female,35-54,505,1929,2982
53706,female,35-54,NA,NA,0
53711,female,35-54,1664,4781,6241
53713,female,35-54,1158,2219,2900
53714,female,35-54,849,1752,2188
53715,female,35-54,152,451,627
53716,female,35-54,899,2102,2433
53717,female,35-54,309,1026,1513
53718,female,35-54,649,1544,1681
53719,female,35-54,1201,3202,3747
53726,female,35-54,35,281,423
53792,female,35-54,NA,NA,0
53801,female,35-54,20,38,105
53802,female,35-54,NA,NA,4
53803,female,35-54,NA,NA,175
53804,female,35-54,30,43,148
53805,female,35-54,218,382,635
53806,female,35-54,23,41,205
53807,female,35-54,33,65,633
53808,female,35-54,NA,NA,157
53809,female,35-54,76,158,446
53810,female,35-54,NA,NA,56
53811,female,35-54,NA,NA,367
53813,female,35-54,62,115,718
53816,female,35-54,24,37,99
53817,female,35-54,NA,NA,15
53818,female,35-54,102,246,1182
53820,female,35-54,25,45,355
53821,female,35-54,299,632,1005
53825,female,35-54,NA,NA,75
53826,female,35-54,57,107,145
53827,female,35-54,NA,NA,22
53901,female,35-54,534,1055,1779
53910,female,35-54,83,137,415
53911,female,35-54,79,147,238
53913,female,35-54,738,1596,2619
53916,female,35-54,916,1788,3165
53919,female,35-54,NA,NA,366
53920,female,35-54,NA,NA,38
53922,female,35-54,28,55,99
53923,female,35-54,70,131,218
53924,female,35-54,26,42,193
53925,female,35-54,365,731,1055
53926,female,35-54,17,41,192
53928,female,35-54,NA,NA,13
53929,female,35-54,78,142,316
53930,female,35-54,56,87,179
53931,female,35-54,NA,NA,34
53932,female,35-54,147,269,366
53933,female,35-54,71,131,386
53934,female,35-54,97,171,460
53935,female,35-54,NA,NA,33
53936,female,35-54,38,70,140
53937,female,35-54,NA,NA,116
53939,female,35-54,NA,NA,26
53941,female,35-54,44,83,362
53943,female,35-54,NA,NA,140
53944,female,35-54,51,120,267
53946,female,35-54,40,74,558
53947,female,35-54,NA,NA,15
53948,female,35-54,170,322,1070
53949,female,35-54,121,254,712
53950,female,35-54,107,192,639
53951,female,35-54,87,147,351
53952,female,35-54,96,175,481
53953,female,35-54,NA,NA,31
53954,female,35-54,255,557,992
53955,female,35-54,254,588,787
53956,female,35-54,103,196,370
53959,female,35-54,278,548,1952
53960,female,35-54,156,324,519
53961,female,35-54,26,49,112
53963,female,35-54,132,270,1628
53964,female,35-54,73,161,460
53965,female,35-54,298,660,1137
53968,female,35-54,61,115,280
53969,female,35-54,NA,NA,35
54001,female,35-54,NA,NA,1076
54002,female,35-54,NA,NA,946
54003,female,35-54,NA,NA,165
54004,female,35-54,NA,NA,340
54005,female,35-54,NA,NA,399
54006,female,35-54,NA,NA,115
54007,female,35-54,NA,NA,183
54009,female,35-54,NA,NA,349
54010,female,35-54,NA,NA,7
54011,female,35-54,NA,NA,1055
54013,female,35-54,NA,NA,446
54014,female,35-54,NA,NA,258
54015,female,35-54,NA,NA,537
54016,female,35-54,NA,NA,5118
54017,female,35-54,NA,NA,2550
54020,female,35-54,NA,NA,1147
54021,female,35-54,NA,NA,952
54022,female,35-54,NA,NA,2417
54023,female,35-54,NA,NA,603
54024,female,35-54,NA,NA,619
54025,female,35-54,NA,NA,973
54026,female,35-54,NA,NA,244
54027,female,35-54,NA,NA,162
54028,female,35-54,NA,NA,304
54082,female,35-54,NA,NA,310
54101,female,35-54,84,189,436
54102,female,35-54,NA,NA,75
54103,female,35-54,NA,NA,59
54104,female,35-54,NA,NA,125
54106,female,35-54,132,237,762
54107,female,35-54,46,107,459
54110,female,35-54,64,132,676
54111,female,35-54,38,74,294
54112,female,35-54,44,102,217
54113,female,35-54,64,183,648
54114,female,35-54,62,124,661
54115,female,35-54,865,2424,6263
54119,female,35-54,NA,NA,75
54120,female,35-54,NA,NA,33
54121,female,35-54,NA,NA,434
54123,female,35-54,NA,NA,35
54124,female,35-54,128,238,434
54125,female,35-54,NA,NA,84
54126,female,35-54,54,155,543
54127,female,35-54,NA,NA,13
54128,female,35-54,19,34,234
54129,female,35-54,56,109,427
54130,female,35-54,462,1008,3640
54135,female,35-54,31,47,359
54136,female,35-54,182,360,779
54137,female,35-54,23,80,168
54138,female,35-54,24,44,79
54139,female,35-54,120,250,409
54140,female,35-54,196,374,1281
54141,female,35-54,62,168,387
54143,female,35-54,89,206,1885
54149,female,35-54,43,70,132
54150,female,35-54,NA,NA,140
54151,female,35-54,NA,NA,509
54153,female,35-54,223,451,1081
54154,female,35-54,198,443,853
54155,female,35-54,150,360,992
54156,female,35-54,NA,NA,174
54157,female,35-54,45,111,855
54159,female,35-54,NA,NA,216
54160,female,35-54,NA,NA,54
54161,female,35-54,69,140,341
54162,female,35-54,292,663,1302
54165,female,35-54,189,423,1239
54166,female,35-54,NA,NA,2179
54169,female,35-54,48,150,465
54170,female,35-54,102,223,514
54171,female,35-54,107,280,645
54173,female,35-54,72,281,781
54174,female,35-54,100,176,339
54175,female,35-54,17,34,92
54177,female,35-54,NA,NA,352
54180,female,35-54,30,91,466
54201,female,35-54,66,134,659
54202,female,35-54,NA,NA,145
54204,female,35-54,26,67,250
54205,female,35-54,58,137,290
54207,female,35-54,NA,NA,27
54208,female,35-54,124,259,809
54209,female,35-54,NA,NA,160
54210,female,35-54,NA,NA,98
54211,female,35-54,NA,NA,36
54212,female,35-54,NA,NA,93
54213,female,35-54,23,53,232
54214,female,35-54,NA,NA,38
54216,female,35-54,119,243,907
54217,female,35-54,225,496,974
54220,female,35-54,NA,NA,5051
54227,female,35-54,12,31,231
54228,female,35-54,NA,NA,358
54229,female,35-54,117,286,642
54230,female,35-54,NA,NA,677
54232,female,35-54,NA,NA,121
54234,female,35-54,NA,NA,113
54235,female,35-54,97,251,2032
54241,female,35-54,NA,NA,1993
54245,female,35-54,NA,NA,353
54246,female,35-54,NA,NA,88
54247,female,35-54,NA,NA,315
54301,female,35-54,488,1141,3079
54302,female,35-54,588,1139,3699
54303,female,35-54,723,1327,3268
54304,female,35-54,679,1296,3521
54307,female,35-54,NA,NA,0
54311,female,35-54,645,1608,4265
54313,female,35-54,814,2421,5816
54401,female,35-54,1322,3057,4021
54403,female,35-54,1020,2396,3198
54405,female,35-54,120,224,411
54406,female,35-54,66,158,504
54407,female,35-54,23,59,207
54408,female,35-54,51,114,118
54409,female,35-54,654,1296,1710
54410,female,35-54,78,187,314
54411,female,35-54,210,422,718
54412,female,35-54,74,164,297
54413,female,35-54,NA,NA,13
54414,female,35-54,168,348,418
54416,female,35-54,57,93,248
54417,female,35-54,NA,NA,10
54418,female,35-54,63,123,168
54420,female,35-54,34,71,140
54421,female,35-54,144,261,419
54422,female,35-54,37,73,144
54423,female,35-54,59,137,361
54424,female,35-54,64,151,235
54425,female,35-54,77,150,252
54426,female,35-54,206,435,598
54427,female,35-54,54,99,149
54428,female,35-54,42,80,108
54430,female,35-54,NA,NA,23
54433,female,35-54,68,140,193
54435,female,35-54,82,168,299
54436,female,35-54,38,74,276
54437,female,35-54,73,138,381
54440,female,35-54,160,333,454
54441,female,35-54,28,70,140
54442,female,35-54,40,87,158
54443,female,35-54,48,123,291
54446,female,35-54,97,172,340
54447,female,35-54,NA,NA,61
54448,female,35-54,211,488,643
54449,female,35-54,884,2011,3204
54450,female,35-54,18,34,40
54451,female,35-54,544,1214,1589
54452,female,35-54,1011,1958,2794
54454,female,35-54,44,80,190
54455,female,35-54,841,2000,2531
54456,female,35-54,79,184,770
54457,female,35-54,366,712,969
54458,female,35-54,NA,NA,17
54459,female,35-54,57,120,113
54460,female,35-54,61,121,291
54462,female,35-54,NA,NA,39
54463,female,35-54,17,37,86
54465,female,35-54,19,45,77
54466,female,35-54,99,217,378
54467,female,35-54,247,615,1682
54469,female,35-54,72,157,196
54470,female,35-54,90,196,269
54471,female,35-54,95,224,283
54473,female,35-54,68,146,319
54474,female,35-54,195,426,685
54475,female,35-54,61,126,211
54476,female,35-54,878,1983,2280
54479,female,35-54,157,301,620
54480,female,35-54,68,114,172
54481,female,35-54,444,981,2766
54482,female,35-54,179,465,1375
54484,female,35-54,202,439,749
54485,female,35-54,NA,NA,29
54486,female,35-54,53,87,298
54487,female,35-54,161,373,1255
54488,female,35-54,37,73,96
54489,female,35-54,54,123,197
54490,female,35-54,36,83,120
54491,female,35-54,56,123,178
54493,female,35-54,NA,NA,71
54494,female,35-54,1228,2704,3796
54495,female,35-54,434,773,968
54498,female,35-54,62,109,271
54499,female,35-54,155,276,415
54501,female,35-54,471,1029,2827
54511,female,35-54,23,51,164
54512,female,35-54,16,40,81
54513,female,35-54,17,32,51
54514,female,35-54,66,119,238
54515,female,35-54,27,53,51
54517,female,35-54,NA,NA,8
54519,female,35-54,NA,NA,137
54520,female,35-54,71,146,497
54521,female,35-54,112,284,950
54524,female,35-54,25,54,115
54525,female,35-54,NA,NA,51
54526,female,35-54,21,37,99
54527,female,35-54,26,46,171
54529,female,35-54,21,45,134
54530,female,35-54,21,38,92
54531,female,35-54,16,60,165
54534,female,35-54,96,225,265
54536,female,35-54,NA,NA,24
54537,female,35-54,18,43,63
54538,female,35-54,38,74,415
54539,female,35-54,33,68,114
54540,female,35-54,23,50,105
54541,female,35-54,20,41,153
54542,female,35-54,NA,NA,45
54545,female,35-54,16,45,89
54546,female,35-54,NA,NA,162
54547,female,35-54,27,83,200
54548,female,35-54,101,256,483
54550,female,35-54,27,61,93
54552,female,35-54,153,294,518
54554,female,35-54,21,45,131
54555,female,35-54,219,455,671
54556,female,35-54,72,144,147
54557,female,35-54,14,35,99
54558,female,35-54,38,88,271
54559,female,35-54,13,33,112
54560,female,35-54,NA,NA,47
54561,female,35-54,NA,NA,0
54562,female,35-54,31,87,146
54563,female,35-54,NA,NA,78
54564,female,35-54,NA,NA,78
54565,female,35-54,NA,NA,4
54566,female,35-54,26,45,185
54568,female,35-54,92,264,562
54601,female,35-54,1599,3702,4656
54603,female,35-54,595,1190,1914
54610,female,35-54,15,32,164
54611,female,35-54,NA,NA,147
54612,female,35-54,261,505,600
54613,female,35-54,39,74,176
54614,female,35-54,142,305,374
54615,female,35-54,182,325,1316
54616,female,35-54,120,215,319
54618,female,35-54,99,164,299
54619,female,35-54,102,200,475
54621,female,35-54,48,108,164
54622,female,35-54,50,95,233
54623,female,35-54,78,170,278
54624,female,35-54,60,144,167
54625,female,35-54,NA,NA,44
54626,female,35-54,47,91,163
54627,female,35-54,95,191,243
54628,female,35-54,34,68,124
54629,female,35-54,65,152,316
54630,female,35-54,220,441,629
54631,female,35-54,41,86,269
54632,female,35-54,48,99,162
54634,female,35-54,140,240,512
54635,female,35-54,19,38,226
54636,female,35-54,722,1753,2112
54637,female,35-54,NA,NA,16
54638,female,35-54,54,115,177
54639,female,35-54,36,73,274
54641,female,35-54,NA,NA,0
54642,female,35-54,86,163,250
54643,female,35-54,NA,NA,0
54644,female,35-54,78,158,195
54645,female,35-54,NA,NA,10
54646,female,35-54,111,196,458
54648,female,35-54,64,105,205
54650,female,35-54,938,2362,3317
54651,female,35-54,37,62,152
54652,female,35-54,25,50,126
54653,female,35-54,50,102,127
54654,female,35-54,NA,NA,3
54655,female,35-54,30,71,186
54656,female,35-54,894,1751,2173
54657,female,35-54,18,36,53
54658,female,35-54,108,236,262
54659,female,35-54,50,73,147
54660,female,35-54,767,1451,2109
54661,female,35-54,149,347,460
54664,female,35-54,27,57,204
54665,female,35-54,206,444,1003
54666,female,35-54,95,208,350
54667,female,35-54,145,316,617
54669,female,35-54,353,871,1114
54670,female,35-54,56,108,268
54701,female,35-54,429,967,4590
54703,female,35-54,581,1172,4742
54720,female,35-54,121,245,889
54721,female,35-54,NA,NA,157
54722,female,35-54,96,163,410
54723,female,35-54,NA,NA,165
54724,female,35-54,116,217,904
54725,female,35-54,NA,NA,386
54726,female,35-54,38,69,217
54727,female,35-54,133,233,724
54728,female,35-54,122,240,697
54729,female,35-54,693,1423,4175
54730,female,35-54,41,98,628
54731,female,35-54,22,34,86
54732,female,35-54,83,148,360
54733,female,35-54,14,31,157
54734,female,35-54,NA,NA,129
54736,female,35-54,NA,NA,496
54737,female,35-54,NA,NA,75
54738,female,35-54,46,99,401
54739,female,35-54,54,127,669
54740,female,35-54,NA,NA,253
54741,female,35-54,32,53,196
54742,female,35-54,78,142,594
54745,female,35-54,50,88,226
54746,female,35-54,NA,NA,114
54747,female,35-54,134,240,328
54748,female,35-54,37,69,155
54749,female,35-54,NA,NA,175
54750,female,35-54,NA,NA,163
54751,female,35-54,NA,NA,2469
54754,female,35-54,23,39,206
54755,female,35-54,58,112,1037
54756,female,35-54,NA,NA,130
54757,female,35-54,28,88,422
54758,female,35-54,53,103,615
54759,female,35-54,NA,NA,226
54760,female,35-54,NA,NA,28
54761,female,35-54,NA,NA,125
54762,female,35-54,NA,NA,186
54763,female,35-54,NA,NA,143
54765,female,35-54,NA,NA,0
54766,female,35-54,42,75,160
54767,female,35-54,NA,NA,434
54768,female,35-54,65,123,558
54769,female,35-54,NA,NA,81
54770,female,35-54,16,44,273
54771,female,35-54,48,90,446
54772,female,35-54,NA,NA,156
54773,female,35-54,157,287,476
54801,female,35-54,56,107,838
54805,female,35-54,NA,NA,147
54806,female,35-54,NA,NA,1506
54810,female,35-54,NA,NA,277
54812,female,35-54,62,125,577
54813,female,35-54,NA,NA,71
54814,female,35-54,NA,NA,279
54817,female,35-54,46,102,242
54819,female,35-54,60,108,323
54820,female,35-54,NA,NA,109
54821,female,35-54,NA,NA,148
54822,female,35-54,96,206,598
54824,female,35-54,NA,NA,278
54826,female,35-54,NA,NA,92
54827,female,35-54,NA,NA,23
54828,female,35-54,NA,NA,78
54829,female,35-54,74,144,604
54830,female,35-54,NA,NA,273
54832,female,35-54,NA,NA,66
54835,female,35-54,21,42,119
54836,female,35-54,NA,NA,162
54837,female,35-54,NA,NA,401
54838,female,35-54,NA,NA,129
54839,female,35-54,NA,NA,51
54840,female,35-54,NA,NA,532
54841,female,35-54,NA,NA,40
54842,female,35-54,NA,NA,25
54843,female,35-54,67,155,1470
54844,female,35-54,NA,NA,25
54845,female,35-54,NA,NA,18
54846,female,35-54,NA,NA,42
54847,female,35-54,NA,NA,280
54848,female,35-54,147,270,778
54849,female,35-54,NA,NA,286
54850,female,35-54,NA,NA,27
54853,female,35-54,NA,NA,517
54854,female,35-54,NA,NA,146
54855,female,35-54,NA,NA,100
54856,female,35-54,NA,NA,172
54857,female,35-54,NA,NA,0
54858,female,35-54,NA,NA,210
54859,female,35-54,NA,NA,189
54861,female,35-54,NA,NA,9
54862,female,35-54,NA,NA,9
54864,female,35-54,NA,NA,227
54865,female,35-54,NA,NA,49
54867,female,35-54,NA,NA,21
54868,female,35-54,364,729,2138
54870,female,35-54,25,51,210
54871,female,35-54,34,66,377
54872,female,35-54,NA,NA,365
54873,female,35-54,NA,NA,362
54874,female,35-54,NA,NA,666
54875,female,35-54,NA,NA,172
54876,female,35-54,NA,NA,131
54880,female,35-54,NA,NA,3774
54888,female,35-54,NA,NA,170
54889,female,35-54,12,30,300
54891,female,35-54,NA,NA,433
54893,female,35-54,NA,NA,432
54895,female,35-54,20,32,152
54896,female,35-54,23,53,198
54901,female,35-54,285,551,4024
54902,female,35-54,198,382,2666
54904,female,35-54,170,411,2842
54909,female,35-54,24,51,320
54911,female,35-54,538,1196,3250
54913,female,35-54,346,1076,2891
54914,female,35-54,668,1373,3911
54915,female,35-54,944,2205,6118
54921,female,35-54,26,58,172
54922,female,35-54,47,88,197
54923,female,35-54,NA,NA,1169
54927,female,35-54,NA,NA,69
54928,female,35-54,NA,NA,80
54929,female,35-54,NA,NA,1238
54930,female,35-54,19,39,236
54931,female,35-54,NA,NA,21
54932,female,35-54,NA,NA,225
54933,female,35-54,NA,NA,36
54934,female,35-54,NA,NA,78
54935,female,35-54,NA,NA,5250
54937,female,35-54,NA,NA,3023
54940,female,35-54,NA,NA,598
54941,female,35-54,NA,NA,262
54942,female,35-54,172,554,1568
54943,female,35-54,44,71,205
54944,female,35-54,164,453,1375
54945,female,35-54,32,65,582
54946,female,35-54,NA,NA,3
54947,female,35-54,57,124,367
54948,female,35-54,NA,NA,31
54949,female,35-54,NA,NA,453
54950,female,35-54,NA,NA,383
54952,female,35-54,686,1407,3256
54956,female,35-54,1094,2586,6535
54960,female,35-54,NA,NA,290
54961,female,35-54,NA,NA,2012
54962,female,35-54,NA,NA,173
54963,female,35-54,99,200,966
54964,female,35-54,NA,NA,123
54965,female,35-54,NA,NA,217
54966,female,35-54,31,73,310
54967,female,35-54,NA,NA,31
54968,female,35-54,NA,NA,362
54970,female,35-54,NA,NA,365
54971,female,35-54,NA,NA,1386
54974,female,35-54,NA,NA,219
54977,female,35-54,NA,NA,187
54979,female,35-54,NA,NA,214
54980,female,35-54,NA,NA,44
54981,female,35-54,NA,NA,1827
54982,female,35-54,NA,NA,821
54983,female,35-54,NA,NA,636
54984,female,35-54,NA,NA,346
54985,female,35-54,NA,NA,15
54986,female,35-54,65,161,714
53001,female,55-74,51,110,259
53002,female,55-74,90,174,265
53003,female,55-74,NA,NA,15
53004,female,55-74,37,77,309
53005,female,55-74,342,1071,2661
53006,female,55-74,NA,NA,202
53007,female,55-74,64,122,278
53010,female,55-74,199,407,938
53011,female,55-74,39,81,241
53012,female,55-74,330,892,2067
53013,female,55-74,57,119,377
53014,female,55-74,68,137,869
53015,female,55-74,51,111,323
53016,female,55-74,NA,NA,51
53017,female,55-74,173,447,874
53018,female,55-74,59,179,1101
53019,female,55-74,16,33,239
53020,female,55-74,84,214,568
53021,female,55-74,87,183,519
53022,female,55-74,612,1447,2038
53023,female,55-74,29,70,181
53024,female,55-74,286,713,2180
53027,female,55-74,457,1046,2352
53029,female,55-74,176,534,2083
53031,female,55-74,NA,NA,0
53032,female,55-74,161,309,538
53033,female,55-74,157,387,671
53034,female,55-74,33,60,246
53035,female,55-74,53,99,240
53036,female,55-74,NA,NA,272
53037,female,55-74,338,706,1047
53038,female,55-74,49,106,349
53039,female,55-74,125,242,423
53040,female,55-74,305,706,844
53042,female,55-74,101,208,802
53044,female,55-74,42,125,322
53045,female,55-74,294,989,3009
53046,female,55-74,52,91,121
53047,female,55-74,NA,NA,5
53048,female,55-74,45,78,211
53049,female,55-74,NA,NA,265
53050,female,55-74,121,234,742
53051,female,55-74,1099,2493,4651
53057,female,55-74,NA,NA,191
53058,female,55-74,25,75,332
53059,female,55-74,32,62,282
53061,female,55-74,48,118,679
53063,female,55-74,NA,NA,235
53065,female,55-74,NA,NA,223
53066,female,55-74,171,539,3867
53069,female,55-74,NA,NA,146
53070,female,55-74,108,257,634
53072,female,55-74,257,762,3022
53073,female,55-74,318,709,1676
53074,female,55-74,152,371,1416
53075,female,55-74,53,122,341
53076,female,55-74,110,253,379
53078,female,55-74,41,86,239
53079,female,55-74,12,32,150
53080,female,55-74,110,223,592
53081,female,55-74,901,1763,4340
53083,female,55-74,466,1048,2379
53085,female,55-74,296,644,1482
53086,female,55-74,215,481,846
53088,female,55-74,NA,NA,52
53089,female,55-74,429,1006,1978
53090,female,55-74,767,1658,2557
53091,female,55-74,54,97,262
53092,female,55-74,337,1175,3371
53093,female,55-74,34,64,258
53094,female,55-74,175,352,2019
53095,female,55-74,1105,2571,3252
53097,female,55-74,85,254,726
53098,female,55-74,120,240,1387
53103,female,55-74,29,76,520
53104,female,55-74,NA,NA,626
53105,female,55-74,164,426,3404
53108,female,55-74,31,62,356
53110,female,55-74,160,308,2070
53114,female,55-74,89,176,271
53115,female,55-74,449,1006,1798
53118,female,55-74,41,119,1018
53119,female,55-74,37,83,598
53120,female,55-74,70,171,1194
53121,female,55-74,348,808,2155
53122,female,55-74,85,431,787
53125,female,55-74,48,188,353
53126,female,55-74,55,130,836
53128,female,55-74,81,180,832
53129,female,55-74,186,473,2058
53130,female,55-74,100,243,1119
53132,female,55-74,367,818,4164
53137,female,55-74,30,66,196
53139,female,55-74,12,38,373
53140,female,55-74,NA,NA,2939
53142,female,55-74,NA,NA,3186
53143,female,55-74,NA,NA,2121
53144,female,55-74,NA,NA,2392
53146,female,55-74,92,230,1037
53147,female,55-74,279,824,2100
53149,female,55-74,119,286,2359
53150,female,55-74,237,587,3017
53151,female,55-74,489,1269,4084
53153,female,55-74,19,47,287
53154,female,55-74,253,539,3305
53156,female,55-74,50,110,342
53158,female,55-74,NA,NA,1703
53167,female,55-74,NA,NA,105
53168,female,55-74,NA,NA,956
53170,female,55-74,NA,NA,174
53172,female,55-74,164,298,2298
53177,female,55-74,NA,NA,732
53178,female,55-74,29,50,372
53179,female,55-74,NA,NA,513
53181,female,55-74,57,135,854
53182,female,55-74,47,112,1027
53183,female,55-74,21,59,355
53184,female,55-74,94,215,424
53185,female,55-74,110,293,2235
53186,female,55-74,349,786,3463
53188,female,55-74,262,627,3693
53189,female,55-74,150,405,3096
53190,female,55-74,474,1077,1216
53191,female,55-74,57,207,412
53192,female,55-74,NA,NA,0
53195,female,55-74,NA,NA,19
53202,female,55-74,289,734,1984
53203,female,55-74,18,41,67
53204,female,55-74,195,341,2022
53205,female,55-74,196,310,691
53206,female,55-74,445,756,2306
53207,female,55-74,379,850,3495
53208,female,55-74,487,979,2576
53209,female,55-74,917,1618,4630
53210,female,55-74,490,862,2472
53211,female,55-74,417,1380,2886
53212,female,55-74,506,892,2283
53213,female,55-74,498,1380,2649
53214,female,55-74,617,1171,3119
53215,female,55-74,349,611,3998
53216,female,55-74,734,1219,3445
53217,female,55-74,456,1576,3809
53218,female,55-74,706,1176,3346
53219,female,55-74,463,933,3911
53220,female,55-74,322,665,3061
53221,female,55-74,367,729,4219
53222,female,55-74,518,1078,2397
53223,female,55-74,584,1097,3633
53224,female,55-74,492,871,1731
53225,female,55-74,504,907,2099
53226,female,55-74,394,1033,2121
53227,female,55-74,384,777,2581
53228,female,55-74,223,502,2113
53233,female,55-74,76,136,442
53235,female,55-74,105,198,1176
53295,female,55-74,NA,NA,0
53402,female,55-74,186,440,3882
53403,female,55-74,123,268,2479
53404,female,55-74,NA,NA,1084
53405,female,55-74,NA,NA,2825
53406,female,55-74,156,373,3538
53501,female,55-74,NA,NA,0
53502,female,55-74,157,330,313
53503,female,55-74,55,125,245
53504,female,55-74,95,205,242
53505,female,55-74,18,37,44
53506,female,55-74,34,69,158
53507,female,55-74,105,228,230
53508,female,55-74,251,569,506
53510,female,55-74,25,50,160
53511,female,55-74,983,1828,5400
53515,female,55-74,100,240,262
53516,female,55-74,127,260,291
53517,female,55-74,100,218,192
53518,female,55-74,54,93,189
53520,female,55-74,439,855,829
53521,female,55-74,183,452,464
53522,female,55-74,91,168,131
53523,female,55-74,233,546,720
53525,female,55-74,98,191,463
53526,female,55-74,20,35,58
53527,female,55-74,402,924,982
53528,female,55-74,250,660,727
53529,female,55-74,86,160,191
53530,female,55-74,125,255,469
53531,female,55-74,191,410,498
53532,female,55-74,701,1457,1393
53533,female,55-74,292,577,904
53534,female,55-74,659,1346,1512
53536,female,55-74,442,864,774
53537,female,55-74,43,87,109
53538,female,55-74,823,1624,2270
53540,female,55-74,NA,NA,23
53541,female,55-74,39,93,114
53543,female,55-74,57,94,161
53544,female,55-74,40,92,94
53545,female,55-74,1263,2767,2581
53546,female,55-74,1698,3530,2944
53548,female,55-74,965,2044,2054
53549,female,55-74,315,578,1178
53550,female,55-74,87,153,119
53551,female,55-74,182,435,895
53553,female,55-74,22,38,63
53554,female,55-74,23,53,116
53555,female,55-74,314,723,967
53556,female,55-74,69,118,323
53557,female,55-74,24,36,48
53558,female,55-74,510,1375,1425
53559,female,55-74,286,534,601
53560,female,55-74,142,298,453
53561,female,55-74,79,190,322
53562,female,55-74,934,2927,3025
53563,female,55-74,637,1347,1374
53565,female,55-74,167,351,550
53566,female,55-74,1047,2074,1813
53569,female,55-74,36,72,127
53570,female,55-74,191,379,320
53571,female,55-74,NA,NA,15
53572,female,55-74,406,1043,951
53573,female,55-74,74,151,351
53574,female,55-74,200,483,429
53575,female,55-74,788,1852,1610
53576,female,55-74,113,227,265
53577,female,55-74,33,67,154
53578,female,55-74,183,364,669
53579,female,55-74,70,134,209
53580,female,55-74,14,32,56
53581,female,55-74,223,408,1276
53582,female,55-74,37,92,102
53583,female,55-74,174,375,550
53585,female,55-74,76,148,238
53586,female,55-74,57,103,263
53587,female,55-74,69,127,146
53588,female,55-74,112,281,545
53589,female,55-74,1044,2324,2324
53590,female,55-74,1710,3645,3522
53593,female,55-74,784,2405,2085
53594,female,55-74,179,358,491
53597,female,55-74,774,1934,1975
53598,female,55-74,109,267,258
53599,female,55-74,NA,NA,7
53702,female,55-74,NA,NA,0
53703,female,55-74,297,967,1136
53704,female,55-74,2061,4734,4685
53705,female,55-74,666,2503,2869
